requisition,note,quote_files,quoted_amount,quote_currency
PR752106,no purchase order issued (Denied),,,
PR748227,no purchase order issued (Denied),,,
PR747971,no purchase order issued (Denied),,,
PR744757,no purchase order issued (Denied),,,
PR745039,no purchase order issued (Denied),,,
PR745654,no purchase order issued (Denied),PR745654_quote_BAMH1 and Esp3I.pdf | PR745654_quote_T4 dna ligase.pdf,748.8,SGD
PR735117,no purchase order issued (Denied),,,
PR735084,no purchase order issued (Denied),,,
PR730996,no purchase order issued (Denied),,,
PR730011,no purchase order issued (Denied),,,
PR727661,no purchase order issued (Denied),PR727661_quote_Q-683886-final.pdf,724.0,SGD
PR727260,no purchase order issued (Denied),PR727260_quote_Q-683886.pdf,300.0,SGD
PR726199,no purchase order issued (Denied),PR726199_quote_Q-660544.pdf,3120.0,USD
PR725938,no purchase order issued (Denied),PR725938_quote_Q-659740.pdf,3120.0,USD
PR720322,no purchase order issued (Denied),PR720322_quote_NTU_McMorrow_Lab Items_V2.pdf,2075.0,USD
PR715743,no purchase order issued (Denied),,,
PR712854,no purchase order issued (Denied),,,
PR707532,no purchase order issued (Denied),,,
PR706500,no purchase order issued (Denied),,,
PR689458,no purchase order issued (Denied),PR689458_quote_D6109356_Consumable_NTU SBS_Xueting Richard She lab.pdf,3361.56,SGD
PR696727,no purchase order issued (Denied),PR696727_quote_IG Official Quotation.pdf,3383.0,
