po_number,issue_date,requisition,pr_title,supplier,vendor,n_lines,currency,po_total,po_total_sgd,dominant_category,wbs,gl_name,requester,po_status,source_pdf
9100268265,2025-09-19,PR669163,PCR,Sigma-Aldrich Pte Ltd,Merck / Sigma-Aldrich,3,SGD,837.44,837.44,Lab Consumables & Plastics,03INS002449C220OOE02,Other expenses,Zhao Xueting,Received,9100268265.pdf
9100268266,2025-09-19,PR669163,PCR,Life Technologies Holdings Pte Ltd,Thermo Fisher Scientific,1,SGD,1570.69,1570.69,Cell Culture,03INS002449C220OOE02,Other expenses,Zhao Xueting,Received,9100268266.pdf
9100268267,2025-09-19,PR669163,PCR,BIO BASIC ASIA PACIFIC PTE. LTD.,BIO BASIC ASIA PACIFIC,1,SGD,272.5,272.5,Chemicals & Small Molecules,03INS002449C220OOE02,Other expenses,Zhao Xueting,Received,9100268267.pdf
9100270703,2025-10-06,PR673241,bio-rad,KYBERLIFE PTE LTD,KYBERLIFE,1,SGD,369.9,369.9,Equipment & Instruments,03INS002449C220OOE02,Other expenses,Zhao Xueting,Received,9100270703.pdf
9100273892,2025-10-28,PR678356,nest,"Wuxi NEST Biotechnology Co., Ltd.",NEST Biotechnology,1,USD,2758.88,3586.54,Lab Consumables & Plastics,03INS002449C220OOE02,Teaching materials/Lab and research consumables,Zhao Xueting,Received,9100273892.pdf
9100274711,2025-11-03,PR679830,Water Heating Bath Wasserbad 18L 99°C + 10kg Beads,KYBERLIFE PTE LTD,KYBERLIFE,3,SGD,1902.3,1902.3,Shipping & Fees,03INS002449C220EQT01,Teaching materials/Lab and research consumables,Zhao Xueting,Received,9100274711.pdf
9100275902,2025-11-11,PR681642,installation of vacuum,GAIA SCIENCE PTE LTD,GAIA SCIENCE,1,SGD,436.0,436.0,Facilities & Maintenance,03INS002449C220OOE04,Other expenses,Zhao Xueting,Received,9100275902.pdf
9100278178,2025-11-27,PR685072,Crating service for shipment,KYBERLIFE PTE LTD,KYBERLIFE,2,SGD,2165.41,2165.41,Shipping & Fees,03INS002449C220EQT01,Teaching materials/Lab and research consumables,Zhao Xueting,Received,9100278178.pdf
9100280535,2025-12-15,PR689400,PT179,PROBIOSCIENCE TECHNOLOGIES,ProBioScience,1,SGD,357.79,357.79,Chemicals & Small Molecules,03INS002449C220OOE02,Teaching materials/Lab and research consumables,Zhao Xueting,Received,9100280535.pdf
9100280567,2025-12-15,PR689456,CYTOFIX/CYTOPERM BUF KIT,ZUELLIG PHARMA PTE. LTD.,Zuellig Pharma,1,SGD,533.66,533.66,Enzymes & Molecular Biology,03INS002449C220OOE02,Teaching materials/Lab and research consumables,Zhao Xueting,Received,9100280567.pdf
9100282042,2025-12-31,PR691117,Rocker 400 Oil Free Vacuum Pump,SPECTRA-TEKNIK (S) PTE LTD,SPECTRA-TEKNIK (S),1,SGD,1711.3,1711.3,Equipment & Instruments,03INS002449C220EQT01,Teaching materials/Lab and research consumables,Zhao Xueting,Received,9100282042.pdf
9100283631,2026-01-12,PR694024,matrigel,Sigma-Aldrich Pte Ltd,Merck / Sigma-Aldrich,1,SGD,1427.9,1427.9,Cell Culture,03INS002449C220OOE02,Teaching materials/Lab and research consumables,Zhao Xueting,Received,9100283631.pdf
9100283719,2026-01-13,PR694318,Laminin-521 And cloneR2,STEMCELL TECHNOLOGIES SINGAPORE,STEMCELL Technologies,1,SGD,656.18,656.18,Cell Culture,03INS002449C220OOE02,Teaching materials/Lab and research consumables,Zhao Xueting,Received,9100283719.pdf
9100283865,2026-01-13,PR694734,40% PEG8000 (w/v)  1.2M NaCl - 1L,"BOSTON BIOPRODUCTS, INC",Boston BioProducts,1,USD,825.0,1072.5,Chemicals & Small Molecules,03INS002449C220OOE02,Teaching materials/Lab and research consumables,Zhao Xueting,Received,9100283865.pdf
