quote_file,linked_po,linked_pr,quote_ref,status,quote_date_text,quote_currency,quote_max_amount,discount_pct_max,discount_amount,discount_notes
9100280567_quote_QT100807286419804.pdf,9100280567,,QT100807286419804,parsed,,SGD,,,,
9100282042_quote_Q-020116-181225-R1 - NTU-SBS - Prof Richard.pdf,9100282042,,Q-020116-181225-R1 - NTU-SBS - Prof Richard,parsed,19/Dec/2025,SGD,,,,
9100283719_quote_Q-652767.pdf,9100283719,,Q-652767,parsed,"January 12, 2026",SGD,602.0,,,Discount is rounded to 2 decimal places
9100283865_quote_251229NAG-1_Richard She_Nanyang Technological University.pdf,9100283865,,251229NAG-1_Richard She_Nanyang Technological University,parsed,"December 29, 2025",USD,825.0,,,
9100286021_quote_260123NAG-1_Richard She_Nanyang Technological University.pdf,9100286021,,260123NAG-1_Richard She_Nanyang Technological University,parsed,"January 23, 2026",USD,463.0,,,
9100286021_quote_Abcam Quote RD4073752133.pdf,9100286021,,Abcam Quote RD4073752133,parsed,26 Jan 2026,SGD,,,,
9100286021_quote_antibody quotation thermofisher.pdf,9100286021,,antibody quotation thermofisher,parsed,06 Singapore 7392,SGD,2329.33,,,
9100286844_quote_INS0031_Quantabio_repliQa HiFi_25 Reactions_NTU_SBS_She Lab_Kai He_Cw.pdf,9100286844,,INS0031_Quantabio_repliQa HiFi_25 Reactions_NTU_SBS_She Lab_Kai He_Cw,parsed,,SGD,637.65,,,
9100287292_quote_TTM Quotation-20260203-Lab Consumable.pdf,9100287292,,TTM Quotation-20260203-Lab Consumable,parsed,,SGD,440.92,,,
9100287823_quote_Quote_SHelf.pdf,9100287823,,Quote_SHelf,scanned image - text layer empty (needs OCR),,,,,,
9100288705_quote_Q20260130000094_NTU_Premade library_Richard She_PE150 1lane_20260130.pdf,9100288705,,Q20260130000094_NTU_Premade library_Richard She_PE150 1lane_20260130,parsed,,SGD,,,,
9100289720_quote_Q920099-MCOL_Richard She_Nanyang Technological University.pdf,9100289720,,Q920099-MCOL_Richard She_Nanyang Technological University,parsed,,USD,,,,
9100289760_quote_NTU_SBS_Prof Richard_CO2 Cyl Regulator_Tubing_JAS200226M_R1.pdf,9100289760,,NTU_SBS_Prof Richard_CO2 Cyl Regulator_Tubing_JAS200226M_R1,parsed,,SGD,,,,
9100290751_quote_TTM Quotation-20260225-Lab Consumable -NTU.pdf,9100290751,,TTM Quotation-20260225-Lab Consumable -NTU,parsed,,SGD,477.68,,,
9100291470_quote_VAZLBH260302-XT-Quotation.pdf,9100291470,,VAZLBH260302-XT-Quotation,parsed,01 Singapore 1386,SGD,365.15,20.0,,
9100291520_quote_Plasmidsaurus_Quote_26H04-042619.pdf,9100291520,,Plasmidsaurus_Quote_26H04-042619,parsed,"March 04, 2026",USD,3000.0,,,
9100292035_quote_SQ049076 DAP.pdf,9100292035,,SQ049076 DAP,parsed,05 Mar 2026,USD,2527.0,,,
9100292292_quote_Zhao XueTing Q65588.pdf,9100292292,,Zhao XueTing Q65588,parsed,,SGD,,,,
